ultimateparentid,rssd,year,best_match,callReports_sample,summaryOfDeposits_sample,federalReserve_sample
6141,608,1987,1,1,0,0
6141,608,1993,1,1,0,0
8884,1511,1987,1,1,0,0
8884,1511,1988,1,1,0,0
8884,1511,1989,1,1,0,0
8884,1511,1990,1,1,0,0
8884,1511,1991,1,1,0,0
8884,1511,1992,1,1,0,0
8884,1511,1993,1,1,0,0
8884,1511,1994,1,1,0,0
8884,1511,1995,1,1,0,0
8884,1511,1996,1,1,0,0
8884,1511,1997,1,1,0,0
8884,1511,1998,1,1,0,0
8884,1511,1999,1,1,0,0
8884,1511,2000,1,1,0,0
8884,1511,2001,1,1,0,0
8884,1511,2002,1,1,0,0
8884,1511,2003,1,1,0,0
8884,1511,2004,1,1,0,0
8884,1511,2005,1,1,0,0
8884,1511,2006,1,1,0,0
8884,1511,2007,1,1,0,0
8884,1511,2008,1,1,0,0
8884,1511,2009,1,1,0,0
8884,1511,2010,1,1,0,0
8884,1511,2011,1,1,0,0
8884,1511,2012,1,1,0,0
8884,1511,2013,1,1,0,0
1252,3403,1987,0,1,0,0
1252,3403,1988,0,1,0,0
1252,3403,1989,0,1,0,0
1252,3403,1990,0,1,0,0
1252,3403,1991,0,1,0,0
1252,3403,1992,0,1,0,0
1252,3403,1993,0,1,0,0
1252,3403,1994,0,1,1,0
1252,3403,1995,0,1,1,0
1252,3403,1996,0,1,1,0
1252,3403,1997,0,1,1,0
1252,3403,1998,0,1,1,0
1252,3403,1999,0,1,1,0
1252,3403,2000,0,1,1,0
1252,3403,2001,0,1,1,0
1252,3403,2002,0,1,1,0
1252,3403,2003,0,1,1,0
1252,3403,2004,0,1,1,0
1252,3403,2005,0,1,1,0
116810,3403,2006,0,1,1,0
1252,3403,2007,0,1,0,0
1252,3403,2008,0,1,0,0
1252,3403,2009,0,1,0,0
1252,3403,2010,0,1,0,0
1252,3403,2011,0,1,0,0
1252,3403,2012,0,1,0,0
1252,3403,2013,0,1,0,0
1252,3403,2014,0,1,0,0
1252,3403,2015,0,1,0,0
7828,4512,1987,0,1,0,0
7828,4512,1988,0,1,0,0
7828,4512,1989,0,1,0,0
7828,4512,1990,0,1,0,0
7828,4512,1991,0,1,0,0
7828,4512,1992,0,1,0,0
7828,4512,1993,0,1,0,0
7828,4512,1994,0,1,0,0
7828,4512,1995,0,1,0,0
7828,4512,1996,0,1,0,0
7828,4512,2005,0,1,0,0
7828,4512,2006,1,1,0,0
7828,4512,2007,1,1,0,0
7828,4512,2008,1,1,0,0
7828,4512,2009,1,1,0,0
7828,4512,2010,1,1,0,0
7828,4512,2011,1,1,0,0
7828,4512,2012,1,1,0,0
7828,4512,2013,1,1,0,0
158074,4512,2014,1,1,0,0
7828,4512,2015,1,1,0,0
29129,5069,1998,1,1,1,1
29129,5069,2005,1,1,1,1
35717,12179,2012,1,1,1,1
35717,12179,2013,1,1,1,1
35717,12179,2014,1,1,1,1
35717,12179,2015,1,1,1,1
102946,12245,2004,1,1,1,0
102946,12245,2005,1,1,1,0
102946,12245,2006,1,1,1,0
6311,12535,1988,1,1,0,0
6311,12535,1989,1,1,0,0
23972,13541,1996,1,1,1,0
6327,13662,1989,1,1,0,1
6327,13662,1990,1,1,0,1
6327,13662,1991,1,1,0,1
19079,15536,1994,1,1,1,1
14083,17147,1993,1,1,0,1
14083,17147,1994,1,1,1,1
14083,17147,2000,1,1,1,1
14083,17147,2002,1,1,1,1
14083,17147,2008,1,1,1,1
14083,17147,2010,1,1,1,1
14083,17147,2011,1,1,1,1
14083,17147,2012,1,1,1,1
14083,17147,2014,1,1,1,1
14083,17147,2015,1,1,1,1
6632,17240,1990,1,1,0,0
6632,17240,1994,1,1,1,0
6632,17240,1998,1,1,1,0
27207,17464,1996,1,1,1,0
27207,17464,2003,1,1,1,0
27207,17464,2007,1,1,1,0
27207,17464,2008,1,1,1,0
27207,17464,2012,1,1,1,0
27207,17464,2013,1,1,1,0
25713,17549,2003,1,1,1,0
25713,17549,2005,1,1,1,0
154737,18827,2015,1,1,1,1
6422,19356,2005,1,1,1,1
11798,19365,1990,1,1,0,0
80034,20053,2008,0,1,1,1
80034,20053,2015,0,1,1,1
127486,20370,2009,1,1,1,1
127943,22039,1987,0,1,0,0
127943,22039,1988,0,1,0,0
127943,22039,1989,0,1,0,0
127943,22039,1990,0,1,0,0
127943,22039,1991,0,1,0,0
127943,22039,1992,0,1,0,0
139115,22039,1993,0,1,0,0
139115,22039,1994,0,1,0,0
139115,22039,1995,0,1,0,0
139115,22039,1996,0,1,0,0
139115,22039,1997,0,1,0,0
139115,22039,1998,0,1,0,0
127943,22039,1999,0,1,0,0
27293,22039,2000,0,1,0,0
127943,22039,2001,0,1,0,0
139115,22039,2002,0,1,0,0
21624,22048,2009,0,1,1,1
21624,22048,2010,0,1,1,1
21624,22048,2011,0,1,1,1
21624,22048,2012,0,1,1,1
21624,22048,2013,0,1,1,1
21624,22048,2015,0,1,1,1
95581,22356,2003,0,1,1,0
95581,22356,2004,0,1,1,0
95581,22356,2005,0,1,1,0
